Population,response,SE,df,asymp.LCL,asymp.UCL
CAR-NBA,6.44915254237303,0.808064406946857,Inf,5.04485859388958,8.24434773358622
CAR-PSR,3.70000000000013,0.473801782934279,Inf,2.87873378986552,4.75556303545543
MAN-FOX,3.50000000000003,0.449946260881131,Inf,2.72045104630596,4.50292976844197
MAN-KIP,3.46666666666672,0.445969630408016,Inf,2.69407194353432,4.4608228843407
MAN-LCI,1.5470085470086,0.218962019995489,Inf,1.17223453095315,2.04160121658566
MAN-MIS,3.69491525423733,0.477188652579993,Inf,2.86862663382178,4.75921075786956
MI-DRI,4.35000000000008,0.551291423656589,Inf,3.39323055835776,5.57654414416176
NAP-ASS,2.05,0.27664180391707,Inf,1.57357185052241,2.67067563429328
NAP-CE,2.38655462184881,0.318278266920753,Inf,1.83760651538815,3.09948996989971
NAP-SCH,3.65833333333341,0.468832455477003,Inf,2.84575712534884,4.70293218580196
WNY-CB,5.26666666666678,0.660499434232369,Inf,4.11894082725649,6.73420156808961
