Population,response,SE,df,asymp.LCL,asymp.UCL
CAR-NBA,12.1949152542379,1.57266283126617,Inf,9.4712516894583,15.7018272699446
CAR-PSR,8.60833333333383,1.11038655423292,Inf,6.68532957395749,11.0844801229328
MAN-FOX,9.94166666666718,1.27735979380443,Inf,7.72844570968178,12.7886951431002
MAN-KIP,8.60833333333377,1.11038655423293,Inf,6.68532957395743,11.0844801229327
MAN-LCI,5.52136752136787,0.732910017288936,Inf,4.25654857791512,7.16202311520379
MAN-MIS,9.73728813559376,1.26233023144241,Inf,7.55247480338163,12.554133936749
MI-DRI,12.3583333333339,1.57996368669737,Inf,9.61916066139583,15.8775186478308
NAP-ASS,3.95833333333357,0.527744830603821,Inf,3.04807682858128,5.14042252178809
NAP-CE,4.74789915966405,0.629376787370451,Inf,3.66156760411877,6.15652880612698
NAP-SCH,7.63333333333367,0.988273435408791,Inf,5.92257747767673,9.83824660756313
WNY-CB,10.2583333333338,1.31701351017248,Inf,7.97619042272031,13.193441630735
